NO_SEQUENCE;DA_EVENEMENT;FK_EVNMNTNO;FK_ENTPRNO
27;2008-08-15;027;5537
26;1999-01-01;041;5537
25;1999-01-01;041;5537
24;1997-06-24;001;5537
23;1997-06-24;001;5537
22;1997-06-24;001;5537
21;1998-03-20;030;5537
20;1998-03-20;029;5537
19;1997-06-24;001;5537
18;1997-06-24;002;5537
17;1997-06-24;002;5537
16;1997-06-24;002;5537
15;1995-06-01;011;5537
14;1995-06-01;014;5537
13;1997-06-24;026;5537
12;1997-06-24;007;5537
11;1997-06-24;008;5537
10;1997-05-16;003;5537
9;1996-06-25;020;5537
8;1995-09-06;020;5537
7;1995-06-15;021;5537
6;1997-05-16;003;5537
5;1992-01-01;001;5537
4;1992-01-01;001;5537
3;1992-01-01;001;5537
2;1988-05-02;026;5537
1;1988-05-02;007;5537
18;1996-07-09;002;8270
17;1996-07-09;002;8270
16;1996-07-09;002;8270
15;1995-09-08;003;8270
14;1995-09-08;003;8270
13;1995-09-08;016;8270
12;1995-04-26;020;8270
11;1994-03-22;021;8270
10;1994-03-22;027;8270
9;1994-03-22;003;8270
8;1994-03-22;024;8270
7;1994-03-22;008;8270
6;1994-01-01;001;8270
4;1994-01-01;001;8270
3;1994-01-01;001;8270
2;1990-02-05;026;8270
1;1990-02-05;007;8270
35;2003-06-06;021;15346
34;0001-01-01;011;15346
33;1988-06-27;027;15346
32;1997-01-17;030;15346
31;0001-01-01;011;15346
30;0001-01-01;011;15346
29;0001-01-01;011;15346
28;1994-12-18;027;15346
27;1968-02-26;012;15346
26;1968-02-26;014;15346
25;1994-03-04;026;15346
24;1994-03-04;007;15346
23;1994-03-04;008;15346
22;1994-09-02;024;15346
21;1995-09-22;030;15346
20;2006-10-10;003;15346
19;1994-03-04;021;15346
18;1994-03-04;027;15346
17;1994-03-04;027;15346
16;1994-03-04;027;15346
14;1991-07-10;027;15346
12;1984-12-18;027;15346
11;1984-12-18;027;15346
9;1963-12-23;026;15346
8;1963-12-23;007;15346
7;2006-10-10;003;15346
6;1994-09-02;003;15346
5;1994-02-08;008;15346
4;1963-12-23;008;15346
3;1935-10-07;008;15346
2;1936-01-17;012;15346
1;1936-01-17;031;15346
38;2009-01-01;011;16493
37;2009-01-01;014;16493
36;2009-05-26;018;16493
35;2007-02-14;027;16493
34;2007-03-28;040;16493
33;2006-08-08;021;16493
32;2006-07-19;027;16493
31;2006-01-18;027;16493
30;2004-12-24;027;16493
29;2003-02-14;027;16493
28;2002-02-08;040;16493
27;2002-02-08;040;16493
26;2001-07-13;027;16493
25;2001-02-19;027;16493
24;1999-01-01;020;16493
23;1995-01-01;011;16493
22;1990-06-29;014;16493
21;1998-12-07;027;16493
20;1994-12-20;027;16493
19;1990-06-29;036;16493
18;1990-06-29;036;16493
17;1990-06-29;036;16493
16;1990-06-29;036;16493
15;1990-06-29;036;16493
14;1990-06-29;036;16493
13;1990-06-29;036;16493
12;1990-06-29;031;16493
11;1996-11-12;027;16493
9;1995-04-25;036;16493
8;1995-06-23;020;16493
6;1993-12-06;008;16493
5;1993-10-26;021;16493
4;1992-01-01;001;16493
3;1992-01-01;001;16493
2;1992-01-01;001;16493
1;1992-08-11;027;16493
4;2003-01-23;037;19196
3;2001-08-24;040;19196
2;2001-03-30;036;19196
1;2001-03-30;031;19196
12;2007-09-04;003;19289
11;1993-05-27;027;19289
10;1989-03-01;027;19289
9;1989-03-01;027;19289
8;1993-05-17;026;19289
7;1993-05-17;007;19289
6;2007-09-04;003;19289
5;1991-01-04;003;19289
4;1993-05-17;008;19289
3;1989-02-24;008;19289
2;1991-01-04;012;19289
1;1991-01-01;031;19289
8;1993-11-30;023;22414
7;1993-01-01;003;22414
6;1997-03-21;037;22414
5;1993-06-21;023;22414
4;1995-08-04;006;22414
3;1993-01-01;003;22414
2;1988-09-13;003;22414
1;1991-07-05;031;22414
3;1995-06-23;003;22922
2;1995-06-23;003;22922
1;1995-06-23;003;22922
13;2005-12-02;002;23327
12;2005-12-02;002;23327
11;2005-12-02;002;23327
10;1998-05-05;003;23327
9;1998-01-27;021;23327
8;1997-12-10;003;23327
7;1997-12-10;003;23327
6;1997-06-25;021;23327
5;1996-04-16;030;23327
4;1996-04-16;029;23327
3;1995-03-20;001;23327
2;1995-03-20;001;23327
1;1995-03-20;001;23327
10;2000-01-01;020;28791
9;2000-11-15;003;28791
8;2000-11-15;024;28791
7;2000-11-08;008;28791
6;2006-08-10;003;28791
5;2006-08-10;003;28791
4;1997-05-20;001;28791
3;1997-05-20;001;28791
2;1997-05-21;031;28791
1;1997-05-20;009;28791
13;2007-01-01;020;37672
12;2001-09-26;031;37672
11;2003-09-04;003;37672
10;2003-09-04;003;37672
9;2002-12-09;003;37672
8;2002-12-03;008;37672
7;2002-12-09;024;37672
6;2001-09-21;001;37672
5;2001-09-21;001;37672
4;2001-09-21;001;37672
3;2001-09-21;001;37672
2;2001-09-26;031;37672
1;2001-09-25;009;37672
16;2008-01-21;021;41882
15;2005-01-01;020;41882
14;2003-10-30;031;41882
13;2005-04-28;027;41882
12;2005-11-10;003;41882
11;2005-11-10;003;41882
10;2005-04-28;003;41882
9;2004-07-08;027;41882
8;2004-07-08;027;41882
7;2004-07-08;027;41882
6;2003-10-28;001;41882
5;2003-10-28;001;41882
4;2003-10-28;001;41882
3;2003-10-28;032;41882
2;2003-10-30;031;41882
1;2003-10-29;009;41882
5;2009-03-06;003;42316
4;2009-03-06;003;42316
3;2004-01-20;031;42316
2;2004-01-20;031;42316
1;2004-01-19;009;42316
13;2008-10-14;002;44077
12;2008-10-14;002;44077
11;2008-10-14;026;44077
10;2008-10-17;023;44077
8;2008-10-14;008;44077
7;2004-10-23;031;44077
6;2007-06-11;003;44077
5;2007-06-11;003;44077
4;2004-10-15;001;44077
3;2004-10-15;001;44077
2;2004-10-23;031;44077
1;2004-10-22;009;44077
7;2007-04-30;026;50034
6;2007-04-30;026;50034
5;2007-04-30;001;50034
4;2007-04-30;001;50034
3;2007-04-30;032;50034
2;2007-05-15;031;50034
1;2007-05-14;009;50034
7;2007-12-12;003;51277
6;2007-12-12;003;51277
5;2007-11-20;003;51277
4;2007-11-05;001;51277
3;2007-11-05;001;51277
2;2007-11-14;031;51277
1;2007-11-13;009;51277
10;2009-01-01;020;51477
9;2007-12-05;031;51477
8;2009-08-28;003;51477
7;2009-08-28;003;51477
6;2009-03-13;003;51477
5;2007-11-29;001;51477
4;2007-11-29;001;51477
3;2007-11-29;001;51477
2;2007-12-06;031;51477
1;2007-12-05;009;51477
3;2009-04-28;008;54020
2;2008-12-19;031;54020
1;2008-12-18;009;54020
